danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.529,0.955,10,-2.59,0,0.0794,0.0344,4.55e-05,0.353,0.0893,125.988,audio_features,0qqwzVWiVmIRynDh1nTGCG,spotify:track:0qqwzVWiVmIRynDh1nTGCG,https://api.spotify.com/v1/tracks/0qqwzVWiVmIRynDh1nTGCG,https://api.spotify.com/v1/audio-analysis/0qqwzVWiVmIRynDh1nTGCG,222075,4,electro
0.663,0.668,3,-7.733,0,0.0479,0.00522,0.0113,0.0689,0.451,131.965,audio_features,0wZDzY0ITlFKYApsjunEDR,spotify:track:0wZDzY0ITlFKYApsjunEDR,https://api.spotify.com/v1/tracks/0wZDzY0ITlFKYApsjunEDR,https://api.spotify.com/v1/audio-analysis/0wZDzY0ITlFKYApsjunEDR,230147,4,electro
0.501,0.77,0,-9.059,0,0.0252,6.51e-06,0.842,0.0929,0.639,132.007,audio_features,0yHlyAKqAF1KLKx8BMYhvq,spotify:track:0yHlyAKqAF1KLKx8BMYhvq,https://api.spotify.com/v1/tracks/0yHlyAKqAF1KLKx8BMYhvq,https://api.spotify.com/v1/audio-analysis/0yHlyAKqAF1KLKx8BMYhvq,271587,4,electro
0.559,0.972,10,-3.854,1,0.156,0.0977,0.0966,0.0953,0.11,128.037,audio_features,0yXVZXXjaw34HhPJRHslK2,spotify:track:0yXVZXXjaw34HhPJRHslK2,https://api.spotify.com/v1/tracks/0yXVZXXjaw34HhPJRHslK2,https://api.spotify.com/v1/audio-analysis/0yXVZXXjaw34HhPJRHslK2,344747,4,electro
0.567,0.931,6,-5.385,0,0.0734,0.022,0.726,0.271,0.18,126.016,audio_features,0yr4DKIedcAD4av7wKzHRO,spotify:track:0yr4DKIedcAD4av7wKzHRO,https://api.spotify.com/v1/tracks/0yr4DKIedcAD4av7wKzHRO,https://api.spotify.com/v1/audio-analysis/0yr4DKIedcAD4av7wKzHRO,197867,4,electro
0.644,0.973,7,-4.344,1,0.0819,0.00124,0.394,0.529,0.4,127.999,audio_features,0zMF8TP9od8JGAefaq8KNM,spotify:track:0zMF8TP9od8JGAefaq8KNM,https://api.spotify.com/v1/tracks/0zMF8TP9od8JGAefaq8KNM,https://api.spotify.com/v1/audio-analysis/0zMF8TP9od8JGAefaq8KNM,339492,4,electro
0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,audio_features,12BbMJsJi65mxneq6c9Lm7,spotify:track:12BbMJsJi65mxneq6c9Lm7,https://api.spotify.com/v1/tracks/12BbMJsJi65mxneq6c9Lm7,https://api.spotify.com/v1/audio-analysis/12BbMJsJi65mxneq6c9Lm7,211213,4,electro
0.637,0.857,1,-5.478,0,0.096,0.00577,0.33,0.105,0.221,127.973,audio_features,12UCIUL2LLMmjd6TNg9oI0,spotify:track:12UCIUL2LLMmjd6TNg9oI0,https://api.spotify.com/v1/tracks/12UCIUL2LLMmjd6TNg9oI0,https://api.spotify.com/v1/audio-analysis/12UCIUL2LLMmjd6TNg9oI0,317173,4,electro
0.645,0.917,9,-5.561,0,0.0746,0.0286,0.549,0.225,0.252,127.983,audio_features,1396U6WCsvyRxNtyayTu3I,spotify:track:1396U6WCsvyRxNtyayTu3I,https://api.spotify.com/v1/tracks/1396U6WCsvyRxNtyayTu3I,https://api.spotify.com/v1/audio-analysis/1396U6WCsvyRxNtyayTu3I,390000,4,electro
0.733,0.821,7,-6.021,1,0.0991,0.000643,0.373,0.0617,0.63,128.013,audio_features,14epucTZd8dLIYipdByNZS,spotify:track:14epucTZd8dLIYipdByNZS,https://api.spotify.com/v1/tracks/14epucTZd8dLIYipdByNZS,https://api.spotify.com/v1/audio-analysis/14epucTZd8dLIYipdByNZS,374125,4,electro
0.591,0.924,5,-4.724,0,0.0465,0.00231,0.00435,0.391,0.274,128.174,audio_features,18l9dai8PHPKp0MzR73toP,spotify:track:18l9dai8PHPKp0MzR73toP,https://api.spotify.com/v1/tracks/18l9dai8PHPKp0MzR73toP,https://api.spotify.com/v1/audio-analysis/18l9dai8PHPKp0MzR73toP,322107,4,electro
0.562,0.903,8,-4.46,0,0.0296,0.000187,0.0939,0.298,0.791,132.009,audio_features,18oWEPapjNt32E6sCM6VLb,spotify:track:18oWEPapjNt32E6sCM6VLb,https://api.spotify.com/v1/tracks/18oWEPapjNt32E6sCM6VLb,https://api.spotify.com/v1/audio-analysis/18oWEPapjNt32E6sCM6VLb,221000,4,electro
