,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
32,0.31,0.515,7,-7.861,1,0.0303,0.347,0.000155,0.354,0.313,90.572,audio_features,0gCbWMHVlVZ0PnTfWhP1KC,spotify:track:0gCbWMHVlVZ0PnTfWhP1KC,https://api.spotify.com/v1/tracks/0gCbWMHVlVZ0PnTfWhP1KC,https://api.spotify.com/v1/audio-analysis/0gCbWMHVlVZ0PnTfWhP1KC,227148,4,rock
33,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,audio_features,0gOyllwzM7IvfuYZ903zNv,spotify:track:0gOyllwzM7IvfuYZ903zNv,https://api.spotify.com/v1/tracks/0gOyllwzM7IvfuYZ903zNv,https://api.spotify.com/v1/audio-analysis/0gOyllwzM7IvfuYZ903zNv,159227,4,rock
34,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,audio_features,0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/audio-analysis/0hCB0YR03f6AmQaHbwWDe8,333893,4,rock
35,0.57,0.649,9,-7.116,1,0.0283,0.186,0.0,0.186,0.872,148.522,audio_features,0iIJ6t6HbI8CJnS7pmuCHb,spotify:track:0iIJ6t6HbI8CJnS7pmuCHb,https://api.spotify.com/v1/tracks/0iIJ6t6HbI8CJnS7pmuCHb,https://api.spotify.com/v1/audio-analysis/0iIJ6t6HbI8CJnS7pmuCHb,175160,4,rock
36,0.389,0.641,4,-9.623,0,0.0328,0.00126,0.000943,0.18,0.546,203.015,audio_features,0iVmK9TXETx9mBAiDnuo7k,spotify:track:0iVmK9TXETx9mBAiDnuo7k,https://api.spotify.com/v1/tracks/0iVmK9TXETx9mBAiDnuo7k,https://api.spotify.com/v1/audio-analysis/0iVmK9TXETx9mBAiDnuo7k,281800,4,rock
37,0.502,0.494,11,-13.524,0,0.0509,0.304,1.72e-05,0.985,0.589,61.929,audio_features,0j1p16d1WkdnKCD0v18h3J,spotify:track:0j1p16d1WkdnKCD0v18h3J,https://api.spotify.com/v1/tracks/0j1p16d1WkdnKCD0v18h3J,https://api.spotify.com/v1/audio-analysis/0j1p16d1WkdnKCD0v18h3J,372200,4,rock
38,0.377,0.658,4,-5.589,1,0.0318,0.117,0.0,0.0677,0.307,143.713,audio_features,0kish3Tobj6Wq0we74343q,spotify:track:0kish3Tobj6Wq0we74343q,https://api.spotify.com/v1/tracks/0kish3Tobj6Wq0we74343q,https://api.spotify.com/v1/audio-analysis/0kish3Tobj6Wq0we74343q,353320,4,rock
39,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.883,audio_features,0myeTJ993kXE4vN0IPchcc,spotify:track:0myeTJ993kXE4vN0IPchcc,https://api.spotify.com/v1/tracks/0myeTJ993kXE4vN0IPchcc,https://api.spotify.com/v1/audio-analysis/0myeTJ993kXE4vN0IPchcc,334744,4,rock
40,0.406,0.889,10,-9.264,0,0.0542,0.00619,4.18e-06,0.323,0.286,104.952,audio_features,0o7g2ndHoHmzTXaxjPM44O,spotify:track:0o7g2ndHoHmzTXaxjPM44O,https://api.spotify.com/v1/tracks/0o7g2ndHoHmzTXaxjPM44O,https://api.spotify.com/v1/audio-analysis/0o7g2ndHoHmzTXaxjPM44O,293667,4,rock
41,0.443,0.955,8,-8.066,1,0.0741,0.0222,0.361,0.297,0.333,123.423,audio_features,0oWHLtxWeMJhmwxtrxhNK0,spotify:track:0oWHLtxWeMJhmwxtrxhNK0,https://api.spotify.com/v1/tracks/0oWHLtxWeMJhmwxtrxhNK0,https://api.spotify.com/v1/audio-analysis/0oWHLtxWeMJhmwxtrxhNK0,273600,4,rock
42,0.643,0.881,2,-9.522,1,0.0373,0.0106,0.0278,0.072,0.739,157.699,audio_features,0obylpC28LbpeUx0tezLFU,spotify:track:0obylpC28LbpeUx0tezLFU,https://api.spotify.com/v1/tracks/0obylpC28LbpeUx0tezLFU,https://api.spotify.com/v1/audio-analysis/0obylpC28LbpeUx0tezLFU,240400,4,rock
43,0.646,0.721,2,-6.253,1,0.0713,0.0544,0.0,0.0566,0.393,149.001,audio_features,0q6oVztLzFqUpIFbHqqkuv,spotify:track:0q6oVztLzFqUpIFbHqqkuv,https://api.spotify.com/v1/tracks/0q6oVztLzFqUpIFbHqqkuv,https://api.spotify.com/v1/audio-analysis/0q6oVztLzFqUpIFbHqqkuv,258323,4,rock
44,0.529,0.87,5,-6.829,1,0.0431,0.000767,0.0188,0.405,0.335,124.06,audio_features,0rM8ajcJgeRay8cwBMNPBv,spotify:track:0rM8ajcJgeRay8cwBMNPBv,https://api.spotify.com/v1/tracks/0rM8ajcJgeRay8cwBMNPBv,https://api.spotify.com/v1/audio-analysis/0rM8ajcJgeRay8cwBMNPBv,254293,4,rock
45,0.536,0.611,9,-11.372,0,0.0411,0.000472,0.0362,0.143,0.438,166.766,audio_features,0swJk3Hoi5woYCdfnL5lWj,spotify:track:0swJk3Hoi5woYCdfnL5lWj,https://api.spotify.com/v1/tracks/0swJk3Hoi5woYCdfnL5lWj,https://api.spotify.com/v1/audio-analysis/0swJk3Hoi5woYCdfnL5lWj,287867,4,rock
46,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,audio_features,0vOkmmJEtjuFZDzrQSFzEE,spotify:track:0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/audio-analysis/0vOkmmJEtjuFZDzrQSFzEE,171267,4,rock
47,0.494,0.485,11,-10.464,1,0.048,0.12,0.000277,0.16,0.609,80.593,audio_features,0wSpEuOMSavGOukgJgVsYx,spotify:track:0wSpEuOMSavGOukgJgVsYx,https://api.spotify.com/v1/tracks/0wSpEuOMSavGOukgJgVsYx,https://api.spotify.com/v1/audio-analysis/0wSpEuOMSavGOukgJgVsYx,426613,4,rock
